id,설명,이름,설명,"사는 공간
1:Lake(민물)
2:Sea(바다)","등급
1:Normal(일반)
2:Rare(고급)
3:Epic(희귀)
4:Legendary(전설)","등장 계절
1:Spring(봄)
2:Summer(여름)
4:Autumn(가을)
8:Winter(겨울)",특수 조건,군집 알고리즘 사용 여부,최소 길이(cm),최대 길이(cm),길이 단위(cm),판매 시 금액(원),스프라이트 ,애니메이터 컨트롤러
ID,,FishName_String,FishDesc_String,FishType,Grade,ArriveSeason,IsSpecial,CrowdingAlgorithm,MinLength,MaxLength,Measure,Price,FishImgPath_Sprite,FishAnimPath_AnimatorOverrideController
Int,,String,String,Enum,Enum,Enum_Flag,Bool,Bool,float,float,float,Int,String,String
10001,토종 붕어,FishNameCarp,FishDescCarp,1,1,1,FALSE,FALSE,15,40,0.1,1,Assets/9.GitIgnore/2D/Fish/Lake/Carp/Sprites/SPR_LakeFish_Carp_001.png,Assets/3.Animations/Fish/Animator/CarpAnim_Override.overrideController
10002,비단 잉어,FishNameKoi,FishDescKoi,1,1,8,FALSE,TRUE,50,100,0.1,1,Assets/9.GitIgnore/2D/Fish/Lake/Koi/Sprites/SPR_LakeFish_Koi_001.png,
10003,미꾸라지,FishNameLoach,FishDescLoach,1,1,2,FALSE,FALSE,17,20,0.1,1,Assets/9.GitIgnore/2D/Fish/Lake/Loach/Sprites/SPR_LakeFish_Loach_001.png,
10004,물메기,FishNameCatFish,FishDescCatFish,1,2,8,FALSE,FALSE,30,50,0.1,2,Assets/9.GitIgnore/2D/Fish/Lake/CatFish/Sprites/SPR_LakeFish_CatFish_001.png,
10005,연어,FishNameSalmon,FishDescSalmon,1,3,15,FALSE,FALSE,70,100,0.1,4,Assets/9.GitIgnore/2D/Fish/Lake/Salmon/Sprites/SPR_LakeFish_Salmon_001.png,
10006,참돔,FishNameRedSeaBream,FishDescRedSeaBream,2,3,1,FALSE,FALSE,40,100,0.1,4,Assets/9.GitIgnore/2D/Fish/Sea/RedSeaBream/Sprites/SPR_SeaFish_RedSeaBream_001.png,
10007,숭어,FishNameMullet,FishDescMullet,2,2,1,FALSE,TRUE,40,110,0.1,2,Assets/9.GitIgnore/2D/Fish/Sea/Mullet/Sprites/SPR_SeaFish_Mullet_001.png,
10008,도다리,FishNameFlounder,FishDescFlounder,2,1,1,FALSE,FALSE,20,60,0.1,1,Assets/9.GitIgnore/2D/Fish/Sea/Flounder/Sprites/SPR_SeaFish_Flounder_001.png,
10009,갈치,FishNameHairtail,FishDescHairtail,2,1,6,FALSE,TRUE,80,200,0.1,1,Assets/9.GitIgnore/2D/Fish/Sea/Hairtail/Sprites/SPR_SeaFish_Hairtail_001.png,
